,id,city,summary_month,avg_humidity
0,193,Opole Voivodeship,1,90.0
1,194,Bratislava,1,63.0
2,195,Presov,1,81.0
3,196,Trnava,1,75.0
4,197,Dunaújváros,1,56.0
5,198,Győr,1,55.0
6,199,Szolnok,1,59.0
7,200,Veszprém,1,41.0
8,201,Szczecin,1,74.0
9,202,Dresden,1,79.0
10,203,Budapest,1,52.0
11,204,Zalaegerszeg,1,49.0
12,205,Bodø,1,82.0
13,206,Krakow,1,85.0
14,207,Rzeszów,1,83.0
15,208,Berlin,1,71.0
16,209,Kiel,1,92.0
17,210,Magdeburg,1,85.0
18,211,Mainz,1,83.0
19,212,Banska Bystrica,1,76.0
20,213,Zilina,1,100.0
21,214,Eger,1,57.0
22,215,Oslo,1,89.0
23,216,Kristiansand,1,77.0
24,217,Bydgoszcz,1,65.0
25,218,Székesfehérvár,1,54.0
26,219,Szombathely,1,64.0
27,220,Tatabánya,1,55.0
28,221,Gdańsk,1,71.0
29,222,Lublin Voivodeship,1,94.0
30,223,Erfurt,1,89.0
31,224,Kecskemét,1,55.0
32,225,Hamar,1,88.0
33,226,Stavanger,1,95.0
34,227,Katowice,1,87.0
35,228,Warsaw,1,69.0
36,229,Wrocław,1,72.0
37,230,Zielona Góra,1,45.0
38,231,Potsdam,1,76.0
39,232,Saarbrücken,1,80.0
40,233,Stuttgart,1,83.0
41,234,Debrecen,1,70.0
42,235,Kaposvár,1,60.0
43,236,Tromsø,1,86.0
44,237,Olsztyn,1,77.0
45,238,Poznań,1,65.0
46,239,Bremen,1,95.0
47,240,Hanover,1,91.0
48,241,Munich,1,82.0
49,242,Nyíregyháza,1,64.0
50,243,Bergen,1,95.0
51,244,Molde,1,100.0
52,245,Skien,1,92.0
53,246,Białystok,1,86.0
54,247,Łódź,1,67.0
55,248,Düsseldorf,1,88.0
56,249,Hamburg,1,92.0
57,250,Schwerin,1,92.0
58,251,Wiesbaden,1,85.0
59,252,Kosice,1,55.0
60,253,Trencin,1,67.0
61,254,Nagykanizsa,1,45.0
62,255,Sopron,1,67.0
63,256,Trondheim,1,93.0
